                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2781,                 1.1417,                 1.1326,                0.59767,                0.60891,                0.61266,                0.33259,                 1.5141,                 1.3644,                 1.2244,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.3206,                 1.1075,                 1.1099,                0.60741,                0.61881,                0.61199,                 0.3402,                 1.5169,                 1.3764,                 1.2302,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.2247,                 1.0706,                 1.0874,                0.64541,                0.57426,                0.61839,                 0.3511,                 1.4803,                 1.3673,                 1.2299,               0.000614,               0.000614,               0.000614
                     37,                 1.2479,                 1.1083,                 1.1005,                0.60452,                0.62376,                 0.6279,                0.36147,                  1.486,                 1.3339,                 1.2392,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.1411,                 1.0618,                 1.0794,                0.59534,                0.62638,                0.65828,                 0.3924,                  1.428,                 1.2215,                  1.202,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.1737,                0.96339,                 1.0587,                0.58563,                0.62269,                0.66705,                0.38648,                  1.476,                 1.2324,                 1.2056,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.2415,                 1.0362,                 1.0832,                0.52575,                 0.6915,                0.65096,                0.36908,                 1.5091,                 1.2823,                 1.2208,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.3031,                  1.306,                 1.1493,                0.59746,                0.61386,                 0.6603,                0.37713,                 1.5196,                 1.2497,                 1.2323,               0.000416,               0.000416,               0.000416
                     42,                 1.2382,                 1.1085,                 1.0565,                0.73404,                 0.5297,                0.65979,                0.37957,                  1.536,                 1.2204,                 1.2531,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.2728,                 1.1282,                 1.0852,                0.57899,                0.66337,                0.66744,                0.37442,                 1.5508,                 1.2803,                 1.2692,              0.0003368,              0.0003368,              0.0003368
                     44,                  1.118,                 1.0579,                 1.0945,                0.59033,                0.65842,                0.65048,                0.37365,                 1.5636,                 1.2998,                 1.2874,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.1993,                 1.0482,                 1.1045,                0.58156,                0.67327,                0.65926,                0.37451,                  1.558,                 1.2796,                 1.2871,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.1274,                 1.0052,                 1.0766,                0.60819,                 0.6916,                0.67628,                0.37763,                 1.5502,                 1.2159,                 1.2715,               0.000218,               0.000218,               0.000218
                     47,                 1.2469,                 1.0078,                  1.072,                0.61607,                0.68812,                0.69891,                0.37995,                 1.5549,                 1.2057,                  1.269,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.2769,                0.99326,                 1.1384,                0.60765,                0.70792,                0.70087,                0.38139,                 1.5484,                 1.2106,                 1.2622,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.1949,                 1.0336,                 1.0595,                0.59395,                0.71287,                0.69839,                0.38208,                 1.5376,                 1.2049,                 1.2553,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.1035,                 1.0619,                 1.0665,                0.59114,                0.70297,                0.70268,                0.39294,                 1.5132,                 1.1891,                 1.2382,               5.96e-05,               5.96e-05,               5.96e-05
